"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile","Agency_Size","Car_Emissions","Emissions_Avoided"
20082,"New York City Department of Transportation","New York","NY",14715363,76519888,20082,"Unknown","New York City Department of Transportation",0,0,0,4873850,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",109174240,0,0,0,0,0,0,109174240,7.41906536726277,1.42674333240007,"Medium",59991592.192,-49182647.808
20084,"County of Rockland","New City","NY",1385483,8437498,20084,"Demand Response","County of Rockland",0,0,0,0,0,0,0,0,75953,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,1488678.8,0,0,0,0,0,1488678.8,1.07448362773127,0.176436047747804,"Medium",6614998.432,5126319.632
20084,"County of Rockland","New City","NY",1385483,8437498,20084,"Motor Bus","County of Rockland",0,0,0,450480,0,0,0,0,13531,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",10090752,265207.6,0,0,0,0,0,10355959.6,7.47462047531439,1.22737328056256,"Medium",6614998.432,-3740961.168
20096,"Putnam County , dba: Putnam Area Rapid Transit","Carmel","NY",96321,793823,20096,"Demand Response","Putnam County",0,0,0,0,0,0,0,0,14937,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,292765.2,0,0,0,0,0,292765.2,3.03947425794998,0.368804128880116,"Small",622357.232,329592.032
20096,"Putnam County , dba: Putnam Area Rapid Transit","Carmel","NY",96321,793823,20096,"Motor Bus","Putnam County",0,0,0,0,0,0,0,0,53530,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,1049188,0,0,0,0,0,1049188,10.8926194703128,1.32169009968217,"Small",622357.232,-426830.768
20098,"Port Authority Trans-Hudson Corporation","New York","NY",55108860,268404831,20098,"Heavy Rail","Port Authority Trans-Hudson Corporation",0,0,0,0,0,98060829,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,0,0,0,0,0,51187752738,51187752738,928.847969963451,190.710996323311,"Medium",210429387.504,-50977323350.496
20099,"Staten Island Rapid Transit Operating Authority, dba:  MTA Staten Island Railway","Staten Island","NY",5194599,30544924,20099,"Heavy Rail","Staten Island Rapid Transit Operating Authority",0,0,0,0,0,24130949,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,0,0,0,0,0,12596355378,12596355378,2424.89466039631,412.387844801971,"Medium",23947220.416,-12572408157.584
20100,"MTA Long Island Rail Road","New York","NY",83835706,2033685836,20100,"Commuter Rail","MTA Long Island Rail Road",0,0,0,7085033,0,548190400,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",158704739.2,0,0,0,0,0,286155388800,286314093539.2,3415.18080063881,140.785803033542,"Medium",1594409695.424,-284719683843.776
20113,"Regional Transit Service","Rochester","NY",9162408,27087937,20113,"Demand Response","Regional Transit Service",0,0,0,1492,0,0,0,0,396377,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",33420.8,7768989.2,0,0,0,0,0,7802410,0.851567622834521,0.288040023129115,"Medium",21236942.608,13434532.608
20113,"Regional Transit Service","Rochester","NY",9162408,27087937,20113,"Motor Bus","Regional Transit Service",0,0,0,1072095,558979,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",24014928,0,0,0,0,0,0,24014928,2.62102800923076,0.886554335976195,"Medium",21236942.608,-2777985.392
20113,"Regional Transit Service","Rochester","NY",9162408,27087937,20113,"Vanpool","Regional Transit Service",0,0,0,0,0,0,0,0,2403,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,47098.8,0,0,0,0,0,47098.8,0.00514043906361734,0.00173873706218381,"Medium",21236942.608,21189843.808
20122,"Academy Lines, Inc., dba: Academy","Hoboken","NJ",1064165,44972754,20122,"Cable Car","Academy Lines, Inc.",737782,0,0,0,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,0,0,0,0,0,0,0,0,0,"Medium",35258639.136,35258639.136
20126,"Hudson Transit Lines, Inc., dba: Short Line","Mahwah","NJ",1832789,93151932,20126,"Cable Car","Hudson Transit Lines, Inc.",0,0,0,967558,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",21673299.2,0,0,0,0,0,0,21673299.2,11.8253106058581,0.23266612655978,"Medium",73031114.688,51357815.488
20128,"Suburban Transit Corporation, dba: Coach USA","New Brunswick","NJ",763649,25775386,20128,"Cable Car","Suburban Transit Corporation",0,0,0,269799,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",6043497.6,0,0,0,0,0,0,6043497.6,7.91397304258894,0.234467782558135,"Small",20207902.624,14164405.024
20135,"Monsey New Square Trails Corporation","Spring Valley","NY",456140,18929810,20135,"Cable Car","Monsey New Square Trails Corporation",0,0,0,283980,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",6361152,0,0,0,0,0,0,6361152,13.9456131889332,0.336038872022487,"Small",14840971.04,8479819.04
20145,"Tompkins Consolidated Area Transit","Ithaca","NY",2222629,10556141,20145,"Demand Response","Tompkins Consolidated Area Transit",0,0,0,0,0,0,0,0,63430,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,1243228,0,0,0,0,0,1243228,0.559350210943887,0.117772962676417,"Medium",8276014.544,7032786.544
20145,"Tompkins Consolidated Area Transit","Ithaca","NY",2222629,10556141,20145,"Motor Bus","Tompkins Consolidated Area Transit",0,0,0,258810,118142,0,0,0,6578,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",5797344,128928.8,0,0,0,0,0,5926272.8,2.66633468743546,0.561405233219223,"Medium",8276014.544,2349741.744
20149,"Rockland Coaches, Inc.","Paramus","NJ",423369,9615140,20149,"Cable Car","Rockland Coaches, Inc.",0,0,0,299196,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",6701990.4,0,0,0,0,0,0,6701990.4,15.8301396653983,0.697024733909231,"Small",7538269.76,836279.36
20163,"Lakeland Bus Lines, Inc.","Dover","NJ",742278,25589974,20163,"Cable Car","Lakeland Bus Lines, Inc.",0,0,0,324287,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",7264028.8,0,0,0,0,0,0,7264028.8,9.78612972498174,0.283862297007414,"Small",20062539.616,12798510.816
20166,"Orange-Newark-Elizabeth, Inc., dba: Coach USA","Elizabeth","NJ",1692482,4056066,20166,"Motor Bus","Orange-Newark-Elizabeth, Inc.",0,0,0,143674,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",3218297.6,0,0,0,0,0,0,3218297.6,1.90152545196936,0.793452966495121,"Medium",3179955.744,-38341.8559999992
20169,"Trans-Bridge Lines, Inc.","Bethlehem","PA",415601,31092890,20169,"Cable Car","Trans-Bridge Lines, Inc.",287206,0,0,0,0,0,0,0,0,0,0,0,0,655,"Natural gas",125.7,235924937,"PA",0,0,0,0,0,0,0,0,0,0,"Small",24376825.76,24376825.76
