"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile"
50012,"Southwest Ohio Regional Transit Authority, dba: Metro / Access","Cincinnati","OH",13083835,70844918,50012,"Demand Response","Southwest Ohio Regional Transit Authority",0,0,0,161428,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",3615987.2,0,0,0,0,0,0,3615987.2,0.276370590121321,0.0510408834124136
50012,"Southwest Ohio Regional Transit Authority, dba: Metro / Access","Cincinnati","OH",13083835,70844918,50012,"Motor Bus","Southwest Ohio Regional Transit Authority",0,0,0,2703468,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",60557683.2,0,0,0,0,0,0,60557683.2,4.6284352561768,0.854792198362062
50015,"The Greater Cleveland Regional Transit Authority","Cleveland","OH",22415370,102838552,50015,"Demand Response","The Greater Cleveland Regional Transit Authority",0,0,0,0,0,0,0,0,665358,0,0,0,67792,1044,"Natural gas",110.4,133223464,"OH",0,13041016.8,0,860958.4,0,0,0,13901975.2,0.620198337123144,0.135182525712731
50015,"The Greater Cleveland Regional Transit Authority","Cleveland","OH",22415370,102838552,50015,"Heavy Rail","The Greater Cleveland Regional Transit Authority",0,0,0,0,0,15807213,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,0,0,0,0,0,16502730372,16502730372,736.223866570126,160.472216411604
50015,"The Greater Cleveland Regional Transit Authority","Cleveland","OH",22415370,102838552,50015,"Light Rail","The Greater Cleveland Regional Transit Authority",0,0,0,0,0,8931099,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,0,0,0,0,0,9324067356,9324067356,415.967586348117,90.6670424142106
50015,"The Greater Cleveland Regional Transit Authority","Cleveland","OH",22415370,102838552,50015,"Motor Bus","The Greater Cleveland Regional Transit Authority",0,0,2497389,762197,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",17073212.8,0,29219451.3,0,0,0,0,46292664.1,2.06521971754203,0.450148929557079
50015,"The Greater Cleveland Regional Transit Authority","Cleveland","OH",22415370,102838552,50015,"Rapid Bus","The Greater Cleveland Regional Transit Authority",0,0,175149,0,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,0,2049243.3,0,0,0,0,2049243.3,0.0914213461566773,0.0199268004084694
50016,"Central Ohio Transit Authority","Columbus","OH",11526490,51281571,50016,"Demand Response","Central Ohio Transit Authority",0,0,36123,78499,0,0,0,0,135650,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",1758377.6,2658740,422639.1,0,0,0,0,4839756.7,0.419881221429941,0.0943761395297348
50016,"Central Ohio Transit Authority","Columbus","OH",11526490,51281571,50016,"Motor Bus","Central Ohio Transit Authority",0,0,2471404,238917,99747,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",5351740.8,0,28915426.8,0,0,0,0,34267167.6,2.97290568074062,0.668216026377195
50017,"Greater Dayton Regional Transit Authority","Dayton","OH",6578178,42234501,50017,"Demand Response","Greater Dayton Regional Transit Authority",0,0,0,0,0,0,0,0,363013,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,7115054.8,0,0,0,0,0,7115054.8,1.08161481796327,0.168465463815945
50017,"Greater Dayton Regional Transit Authority","Dayton","OH",6578178,42234501,50017,"Motor Bus","Greater Dayton Regional Transit Authority",0,0,0,915070,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",20497568,0,0,0,0,0,0,20497568,3.11599473288804,0.485327576144442
50017,"Greater Dayton Regional Transit Authority","Dayton","OH",6578178,42234501,50017,"Trolleybus","Greater Dayton Regional Transit Authority",0,0,0,0,0,2003093,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,0,0,0,0,0,2091229092,2091229092,317.903998949253,49.5147105443486
50021,"Portage Area Regional Transportation Authority","Kent","OH",904481,2689790,50021,"Demand Response","Portage Area Regional Transportation Authority",0,0,0,0,0,0,0,0,84641,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",0,1658963.6,0,0,0,0,0,1658963.6,1.8341608060313,0.616763241740061
50021,"Portage Area Regional Transportation Authority","Kent","OH",904481,2689790,50021,"Motor Bus","Portage Area Regional Transportation Authority",0,0,47033,105186,0,0,0,0,16488,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",2356166.4,323164.8,550286.1,0,0,0,0,3229617.3,3.57068561970898,1.20069496131668
50022,"Toledo Area Regional Transit Authority","Toledo","OH",1891108,13977629,50022,"Demand Response","Toledo Area Regional Transit Authority",0,0,0,29399,0,0,0,0,80601,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",658537.6,1579779.6,0,0,0,0,0,2238317.2,1.18360093659379,0.160135685386985
50022,"Toledo Area Regional Transit Authority","Toledo","OH",1891108,13977629,50022,"Motor Bus","Toledo Area Regional Transit Authority",0,0,0,543431,0,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",12172854.4,0,0,0,0,0,0,12172854.4,6.4368901194432,0.870881205961326
